"","year","accomplishment","person","gender","category","decade"
"342",1975,"First African-American to play in a men's major golf championship","Lee Elder (The Masters)","African-American Firsts","Sports",1970
"343",1975,"First African-American to be named Super Bowl MVP in NFL","Franco Harris (Pittsburgh Steelers). Of mixed heritage, Harris was also the first Italian-American to win the award.","African-American Firsts","Education & Science",1970
"344",1975,"First African-American women named as Time magazine's Person of the Year","Barbara Jordan and Addie L. Wyatt[232]","African-American Firsts","Arts & Entertainment",1970
"345",1976,"First African-American female elected officer of an international labor union","Addie L. Wyatt","Female African American Firsts","Military",1970
"346",1976,"First African-American to become president of the American Library Association","Clara Stanton Jones, who served as its acting president from April 11 to July 22 in 1976 and then its president from July 22, 1976, to 1977[233]","African-American Firsts","Education & Science",1970
"347",1977,"First African-American, and first woman, appointed director of the Peace Corps","Carolyn R. Payton","Female African American Firsts","Arts & Entertainment",1970
"348",1977,"First African-American drafted to play professional basketball, first woman to dunk in a professional women's game","Cardte Hicks[234]","Female African American Firsts","Education & Science",1970
"349",1977,"First African-American woman in the U.S. Cabinet","Patricia Roberts Harris, Secretary of Housing and Urban Development","Female African American Firsts","Politics",1970
"350",1977,"First African-American woman whose signature appeared on U.S. currency","Azie Taylor Morton, the 36th Treasurer of the United States","Female African American Firsts","Social & Jobs",1970
"351",1977,"First African-American publisher of mainstream gay publication","Alan Bell (Gaysweek)[235][236]","Female African American Firsts","Arts & Entertainment",1970
"352",1977,"First African-American woman to join the Daughters of the American Revolution","Karen Batchelor[237]","Female African American Firsts","Social & Jobs",1970
"353",1977,"First African-American Major League Baseball general manager","Bill Lucas (Atlanta Braves)","African-American Firsts","Military",1970
"354",1977,"First African-American woman to be ordained as an Episcopal priest","Pauli Murray.[238]","Female African American Firsts","Religion",1970
"355",1977,"First African-American to work as a registrar for a major scientific museum","Margaret Santiago.[239]","African-American Firsts",NA,1970
"356",1978,"First African-American broadcast network news anchor","Max Robinson","African-American Firsts","Arts & Entertainment",1970
"357",1978,"First African-American woman pilot for a major commercial airline","Jill E. Brown, Texas International Airlines[240]","Female African American Firsts","Social & Jobs",1970
"358",1978,"First African-American woman to advance to the rank of captain in the Navy","Joan C. Bynum[241]","Female African American Firsts","Military",1970
"359",1979,"First African-American U.S. Marine Corps general officer","Frank E. Petersen","African-American Firsts","Military",1970
"360",1979,"First African-American to win a Daytime Emmy Award for lead actor in a soap opera","Al Freeman Jr. (Ed Hall in One Life to Live)","African-American Firsts","Arts & Entertainment",1970
"361",1979,"First African-American woman ordained in the Lutheran Church in America (LCA), the largest of three denominations that later combined to form the Evangelical Lutheran Church in America","Earlean Miller[242]","Female African American Firsts","Religion",1970
"362",1979,"First African-American head coach of an NCAA Division I-A football program","Willie Jeffries (Wichita State).[243]","African-American Firsts","Sports",1970
"363",1980,"First African-American-oriented cable channel","BET[244]","African-American Firsts","Arts & Entertainment",1980
"364",1980,"First African-American woman to graduate from (and to attend) the U.S. Naval Academy","Janie L. Mines, graduated in 1980[245][246][247]","Female African American Firsts","Military",1980
"365",1981,"First African-American to play in the NHL","Val James (Buffalo Sabres)[Note 20]","African-American Firsts","Sports",1980
"366",1982,"First African-American inducted to the Basketball Hall of Fame as a coach","Clarence Gaines (See also","African-American Firsts","Education & Science",1980
"367",1982,"First African-American U.S. Army four-star General","Roscoe Robinson Jr.","African-American Firsts","Military",1980
"368",1983,"First African-American astronaut","Guion Bluford (Challenger mission STS-8).[248][Note 21]","African-American Firsts","Education & Science",1980
"369",1983,"First African-American mayor of Chicago","Harold Washington","African-American Firsts","Politics",1980
"370",1983,"First African-American Miss America","Vanessa L. Williams (A few weeks before the end of her reign as Miss America, Williams learned that Penthouse magazine would be publishing unauthorized nude photographs of her in an upcoming issue. Amid growing media controversy and scrutiny, Williams resigned as Miss America in July 1984 (under pressure from the Miss America Organization) and was replaced by first runner-up Miss New Jersey Suzette Charles, who was also African-American.)","African-American Firsts","Social & Jobs",1980
"371",1983,"First African-American owners of a major metropolitan newspaper","Robert C. and Nancy Hicks Maynard (Oakland Tribune)","African-American Firsts","Social & Jobs",1980
"372",1983,"First African-American artist to have a music video shown on MTV","Michael Jackson[249]","African-American Firsts","Arts & Entertainment",1980
"373",1984,"First African-American to win a delegate-awarding U.S. presidential primary/caucus","Jesse Jackson (Louisiana, the District of Columbia, South Carolina, Virginia, and one of two separate Mississippi contests).","African-American Firsts","Politics",1980
"374",1984,"First African-American New York City Police Commissioner","Benjamin Ward","African-American Firsts","Law",1980
